"","x"
"126",33656.7098438783
"127",30716.7272846773
"128",21094.5783383073
"129",31311.1163481008
"130",29811.2103203354
"131",31375.8739829824
"132",31015.0858225388
"133",35346.7875500664
"134",23016.4257516157
"135",36191.0285451653
"136",16212.2409984595
"137",27368.7323492471
"138",38869.0368640311
"139",29339.3352035922
"140",17104.3145966163
"141",24954.438886867
"142",22414.8830609933
"143",16984.9875325451
"144",26560.9716750172
"145",21762.4100727902
"146",17830.5274554167
"147",37681.6131631893
"148",37221.9026643448
"149",12170.4733975989
"150",18425.1721371317
"151",23179.9142980772
"152",20561.3940057559
"153",36630.8101340914
"154",33274.7903395386
"155",34406.9033269354
"156",32457.8325223364
"157",31255.8514421005
"158",23771.7705973807
"159",36612.3650098194
"160",18073.6875923267
"161",20198.0812791219
"162",26596.3115223185
"163",22779.3357454688
"164",30045.1606172708
"165",33036.2356006292
"166",24323.4646539775
"167",33107.5499227061
"168",23503.7425313705
"169",27209.3204623002
"170",12231.704059444
"171",14067.0166049668
"172",23919.2937687063
"173",24869.4370668805
"174",22168.2526996733
"175",20900.3048566813
"176",33335.4720250024
"177",30024.8312958867
"178",31391.2525152646
"179",18412.7588757674
"180",23246.1598854325
"181",13770.5033632612
"182",32751.4132142672
"183",32530.6854808213
"184",39087.4831713491
"185",28548.4134414199
"186",31511.2591978844
"187",12120.7626114119
"188",23663.1936806786
"189",11538.9934729292
"190",27898.3477734427
"191",23037.9237369375
"192",14184.1890153545
"193",18142.2379139258
"194",27530.0926928048
"195",20199.8555838294
"196",29216.8691910091
"197",19451.8710789351
"198",34252.8444023864
"199",26851.6793025103
"200",21396.0309645602
"201",25321.8226448287
"202",26868.0751190139
"203",17351.7605860639
"204",34623.8213161906
"205",33210.5719575484
"206",37808.4635366509
"207",14585.0781101415
"208",18767.441146037
"209",33299.5210395223
"210",26843.7179858085
"211",22596.3856890207
"212",20055.3381662039
"213",39424.9780760836
"214",27732.0714401842
"215",23558.4393458813
"216",18120.1965023249
"217",23849.1502095812
"218",18003.4439608393
"219",34771.2665639047
"220",30917.9547049417
"221",33103.4864674162
"222",36303.0105084896
"223",30250.762477656
"224",28437.1302365555
"225",31539.7221192107
"226",36897.6569996144
"227",27006.7789454285
"228",25198.405246452
"229",21557.1151141607
"230",32745.2068791281
"231",33377.6327157116
"232",32692.3258215661
"233",30754.0204699914
"234",27193.8295909913
"235",30674.9256593831
"236",37756.3592570345
"237",31095.8015555888
"238",21756.716387278
"239",30571.2275742249
"240",36712.0621626963
"241",12887.1583254775
"242",27140.9530284523
"243",16758.2894336898
"244",16882.6403810217
"245",26813.8310543706
"246",39644.9108074945
"247",30690.7581369185
"248",26592.9885617105
"249",23242.8129593766
"250",33166.8915326721
"251",15215.6949845135
"252",29953.3261077141
"253",28096.6488783589
"254",39787.9162723471
"255",35577.3913399302
"256",27655.0045037176
"257",16462.7265882567
"258",32428.1598335785
"259",34016.2666925658
"260",31418.7052242145
"261",33507.1417701221
"262",32337.340711449
"263",25120.9138953993
"264",20101.2882012702
"265",26187.6675814149
"266",26509.0874127873
"267",35745.2392355549
"268",36051.9020185945
"269",31821.7729719895
"270",17950.8420815902
"271",34018.554492577
"272",30533.6588232258
"273",39351.3111085757
"274",23929.8972664871
"275",22611.5399209305
"276",24660.7625891806
"277",16338.5972741563
"278",19784.7936478928
"279",27053.8295928859
"280",21999.8809419976
"281",22364.7222006239
"282",30157.1683171455
"283",13080.0235330517
"284",29846.6894395468
"285",19671.3751411658
"286",30208.3748307201
"287",25354.3856009672
"288",37177.6330450451
"289",23016.9329891965
"290",35433.4344770854
"291",32478.7463408776
"292",25947.1169987611
"293",19577.6869300167
"294",27271.5340039852
"295",11061.2325832352
"296",33393.4808174679
"297",24775.795087604
"298",26248.8052382567
"299",20195.7289497632
"300",35837.2249115494
"301",24125.7977057243
"302",21310.8591766475
"303",17940.7050962236
"304",25174.4039769689
"305",28523.7278588008
"306",27717.561750717
"307",12003.1987272889
"308",27320.5043679352
"309",37831.2668712813
"310",30043.1206855352
"311",34928.5977812431
"312",33640.1287123956
"313",18468.7784841566
"314",33544.3133462194
"315",24057.0129145373
"316",24105.517955047
"317",25935.7798327306
"318",19601.6015903827
"319",15399.7680953015
"320",17773.1365177331
"321",13419.5735717899
"322",22690.5962663482
"323",24624.7928110187
"324",37666.5402828661
"325",32913.0196596975
"326",19864.6496829622
"327",34088.9882907608
"328",17638.042776223
"329",35211.5865834869
"330",21545.5025460825
"331",37880.4575567377
"332",27229.1939784318
"333",27609.0263913454
"334",38535.0907650791
"335",16885.2384228763
"336",32295.0011283439
"337",15866.8925709056
"338",25858.2358726996
"339",33551.7948536595
"340",21438.2887331334
"341",25470.5602162783
"342",26210.0060452642
"343",39717.3192406824
"344",34725.8926860768
"345",20113.0834139682
"346",35642.6339829631
"347",33726.8021067441
"348",31978.6956248043
"349",23950.5642782432
"350",34043.2389141893
"351",30135.7535277104
"352",24464.9109441001
"353",24940.7480429928
"354",14619.8731732319
"355",15047.3760812132
"356",30659.3170708196
"357",27820.3034593563
"358",19604.2783770149
"359",29908.3229851768
"360",28229.3242265232
"361",14212.824954354
"362",35385.4409288331
"363",32686.7601969692
"364",32006.3165510472
"365",31288.0821838746
"366",39726.39913708
"367",34446.8087009391
"368",18873.9301390835
"369",34391.1831850992
"370",26682.4339571516
"371",11621.1260112423
"372",26320.8709231714
"373",25584.2680941904
"374",19922.1320651476
"375",35581.9002040688
"376",30206.5878202726
