"","id","first_name","surname","handballs","deb","games"
"209",1550,"Gary","Brice",2,1970-04-11,44
"210",1680,"Bruce","Doull",5,1970-04-18,44
"211",1694,"Rodney","Eade",3,1976-07-31,44
"212",1806,"John","Hendrie",3,1972-04-01,44
"213",1831,"Warwick","Irwin",3,1970-04-25,44
"214",1863,"Peter","Keenan",0,1970-05-09,44
"215",1949,"Leigh","Matthews",5,1971-07-10,44
"216",1998,"Michael","Moncrieff",2,1972-06-10,44
"217",2022,"Bruce","Nankervis",4,1970-05-30,44
"218",2260,"Greg","Wells",3,1970-06-06,44
"219",4144,"Patrick","Ryder",4,2006-04-16,44
"220",30,"Andrew","McLeod",5,1995-06-24,43
"221",148,"Stephen","Kernahan",1,1986-05-24,43
"222",148,"Stephen","Kernahan",2,1986-06-09,43
"223",210,"Gary","Pert",4,1982-04-24,43
"224",264,"Chris","Tarrant",4,1999-06-26,43
"225",284,"Leon","Davis",2,2000-03-19,43
"226",304,"Dustin","Fletcher",5,1993-08-14,43
"227",314,"Paul","Salmon",4,1983-06-18,43
"228",421,"Brad","Johnson",4,1994-08-13,43
"229",422,"Chris","Grant",5,1990-07-07,43
"230",639,"Chris","Langford",1,1984-04-23,43
"231",695,"Garry","Lyon",3,1986-04-19,43
"232",714,"Adem","Yze",4,1995-09-01,43
"233",731,"Russell","Robertson",1,1998-07-25,43
"234",758,"Ross","Smith",2,1984-06-23,43
"235",762,"John","Blakey",4,1986-09-14,43
"236",766,"Wayne","Carey",2,1989-06-17,43
"237",791,"Byron","Pickett",4,1998-04-11,43
"238",822,"Brendon","Lade",3,1997-08-02,43
"239",822,"Brendon","Lade",4,1997-04-20,43
"240",855,"Darryl","Wakelin",2,1995-04-16,43
"241",867,"Stuart","Maxfield",1,1990-05-13,43
"242",927,"Stewart","Loewe",4,1986-05-31,43
"243",1040,"Peter","Matera",4,1991-03-24,43
"244",1313,"Bernard","Toohey",3,1981-08-08,43
"245",1335,"Paul","Vander Haar",3,1977-04-30,43
"246",1694,"Rodney","Eade",4,1976-07-24,43
"247",1736,"Garry","Foulds",1,1974-08-03,43
"248",1957,"Peter","McCormack",1,1976-06-19,43
"249",2005,"Tony","Morwood",3,1978-04-15,43
"250",2114,"Michael","Roach",2,1979-04-25,43
"251",2142,"Paul","Sarah",2,1972-06-12,43
"252",2178,"Steven","Smith",3,1974-06-15,43
"253",4086,"Travis","Cloke",1,2005-06-13,43
"254",4169,"Josh","Kennedy",1,2006-07-22,43
"255",78,"Matthew","Clarke",3,1993-03-27,42
"256",134,"Daniel","Bradshaw",3,1996-08-11,42
"257",139,"Peter","Dean",5,1984-09-15,42
"258",249,"Simon","Prestigiacomo",3,1997-04-04,42
"259",251,"Anthony","Rocca",3,1995-05-19,42
"260",303,"Gavin","Wanganeen",4,1991-04-13,42
"261",379,"Stephen","Paxman",2,1991-06-09,42
"262",502,"Jeff","White",5,1997-04-06,42
