"day_of_week","id","first_name","surname","n","teams"
"Thu",1509,"Kevin","Bartlett",1,"Richmond"
"Thu",1524,"John","Bennett",1,"St Kilda"
"Thu",1536,"Graeme","Bond",1,"Richmond"
"Thu",1539,"Francis","Bourke",1,"Richmond"
"Thu",1570,"Greg","Burns",1,"St Kilda"
"Thu",1603,"Dick","Clay",1,"Richmond"
"Thu",1638,"Max","Crow",1,"St Kilda"
"Thu",1640,"Phil","Cronan",1,"St Kilda"
"Thu",1735,"Silvio","Foschini",1,"St Kilda"
"Thu",1766,"Mike","Green",1,"Richmond"
"Thu",1877,"Peter","Kiel",1,"St Kilda"
"Thu",1899,"Michael","Roberts",1,"St Kilda"
"Thu",1932,"Robert","Mace",1,"St Kilda"
"Thu",2006,"Paul","Morwood",1,"St Kilda"
"Thu",2048,"Gary","Odgers",1,"St Kilda"
"Thu",2169,"Allan","Sidebottom",1,"St Kilda"
"Thu",2180,"Terry","Smith",1,"St Kilda"
"Thu",2295,"Cameron","Howat",1,"Richmond"
"Thu",2308,"Leigh","Fisher",1,"St Kilda"
"Thu",2343,"Roger","Dean",1,"Richmond"
"Thu",2414,"Barry","Richardson",1,"Richmond"
"Thu",2524,"Bill","Barrot",2,"Richmond"
"Thu",2580,"Michael","Bowden",1,"Richmond"
"Thu",2602,"Billy","Brown",1,"Richmond"
"Thu",2619,"Graham","Burgin",1,"Richmond"
"Thu",2640,"Barry","Cameron",1,"Richmond"
"Thu",2737,"Neville","Crowe",1,"Richmond"
"Thu",2908,"Graeme","Gahan",1,"Richmond"
"Thu",2973,"Dick","Grimmond",1,"Richmond"
"Thu",2980,"Paddy","Guinane",2,"Richmond"
"Thu",3027,"Ian","Hayden",1,"Richmond"
"Thu",3069,"Peter","Hogan",1,"Richmond"
"Thu",3115,"Graham","Jacobs",1,"Richmond"
"Thu",3290,"Frank","McCashney",1,"Richmond"
"Thu",3432,"John","Northey",1,"Richmond"
"Thu",3509,"Michael","Patterson",2,"Richmond"
"Thu",3529,"Mike","Perry",1,"Richmond"
"Thu",3586,"Alan","Richardson",1,"Richmond"
"Thu",3608,"John","Robertson",1,"Richmond"
"Thu",3675,"Roy","Selleck",1,"Richmond"
"Thu",3699,"Tom","Simpson",1,"Richmond"
"Thu",3760,"Fred","Swift",1,"Richmond"
"Thu",3777,"Vic","Thorp",1,"Richmond"
"Thu",3844,"Wayne","Walsh",1,"Richmond"
"Thu",3902,"Gary","Williamson",1,"Richmond"
"Thu",3962,"Troy","Chaplin",4,"Richmond"
"Thu",3974,"Farren","Ray",1,"St Kilda"
"Thu",3975,"Sam","Fisher",6,"St Kilda"
"Thu",3987,"Kelvin","Moore",3,"Richmond"
"Thu",4038,"Fergus","Watts",1,"St Kilda"
"Thu",4041,"Shane","Tuck",4,"Richmond"
"Thu",4044,"Daniel","Jackson",7,"Richmond"
"Thu",4057,"Andrew","Raines",2,"Richmond"
"Thu",4068,"Brett","Deledio",8,"Richmond"
"Thu",4073,"Sean","Dempster",2,"St Kilda"
"Thu",4081,"Jayden","Attard",1,"St Kilda"
"Thu",4091,"Richard","Tambling",3,"Richmond"
"Thu",4104,"Andrew","McQualter",3,"St Kilda"
"Thu",4108,"Adam","Pattison",1,"Richmond"
"Thu",4112,"Nathan","Foley",5,"Richmond"
"Thu",4120,"Adam","Thomson",1,"Richmond"
